country_code,country_name,region,income_level,capital,latitude,longitude
ABW,Aruba,Latin America & Caribbean ,High income,Oranjestad,12.5167,-70.0167
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,34.5228,69.1761
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Luanda,-8.81155,13.242
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,41.3317,19.8172
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,42.5075,1.5218
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,24.4764,54.3705
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Buenos Aires,-34.6118,-58.4173
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,40.1596,44.509
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,-14.2846,-170.691
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,Saint John's,17.1175,-61.8456
AUS,Australia,East Asia & Pacific,High income,Canberra,-35.282,149.129
AUT,Austria,Europe & Central Asia,High income,Vienna,48.2201,16.3798
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,40.3834,49.8932
BDI,Burundi,Sub-Saharan Africa ,Low income,Bujumbura,-3.3784,29.3639
BEL,Belgium,Europe & Central Asia,High income,Brussels,50.8371,4.36761
BEN,Benin,Sub-Saharan Africa ,Lower middle income,Porto-Novo,6.4779,2.6323
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,Ouagadougou,12.3605,-1.53395
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,23.7055,90.4113
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,42.7105,23.3238
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,26.1921,50.5354
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Nassau,25.0661,-77.339
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo,43.8607,18.4214
BLR,Belarus,Europe & Central Asia,Upper middle income,Minsk,53.9678,27.5766
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Belmopan,17.2534,-88.7713
BMU,Bermuda,North America,High income,Hamilton,32.3293,-64.706
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,La Paz,-13.9908,-66.1936
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Brasilia,-15.7801,-47.9292
BRB,Barbados,Latin America & Caribbean ,High income,Bridgetown,13.0935,-59.6105
BRN,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan,4.94199,114.946
BTN,Bhutan,South Asia,Lower middle income,Thimphu,27.5768,89.6177
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,Gaborone,-24.6544,25.9201
CAF,Central African Republic,Sub-Saharan Africa ,Low income,Bangui,5.63056,21.6407
CAN,Canada,North America,High income,Ottawa,45.4215,-75.6919
CHE,Switzerland,Europe & Central Asia,High income,Bern,46.948,7.44821
CHI,Channel Islands,Europe & Central Asia,High income,,,
CHL,Chile,Latin America & Caribbean ,High income,Santiago,-33.475,-70.6475
CHN,China,East Asia & Pacific,Upper middle income,Beijing,40.0495,116.286
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Yamoussoukro,5.332,-4.0305
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Yaounde,3.8721,11.5174
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,Kinshasa,-4.325,15.3222
