country_code,year,gdp_per_capita
AFE,2015,1498.8752400759
AFW,2015,1860.72768628324
ARB,2015,6290.55879501691
CSS,2015,14497.5393236017
CEB,2015,12596.8862547468
EAR,2015,3174.36962020929
EAS,2015,9691.70576095154
EAP,2015,6589.77076427461
TEA,2015,6664.48834577557
EMU,2015,34471.1747135027
ECS,2015,22702.8228380066
ECA,2015,6291.45594655745
TEC,2015,8009.61874995558
EUU,2015,30771.6568591261
FCS,2015,1663.16200127279
HPC,2015,917.296109229182
IBD,2015,5546.04775275527
IBT,2015,4474.43525326247
IDB,2015,1947.85246838642
IDX,2015,1023.43894668408
IDA,2015,1350.30758062231
LTE,2015,8331.63270803563
LCN,2015,8547.2373391789
LAC,2015,8308.73911709951
TLA,2015,8404.37747196218
LDC,2015,982.894810600519
LMY,2015,4284.85686298442
MEA,2015,5125.68064083245
MNA,2015,2802.63134980954
TMN,2015,2799.45441811583
MIC,2015,4602.51682691609
NAC,2015,55285.5686917861
OED,2015,35779.9123271942
OSS,2015,10359.1182462574
PSS,2015,3722.7745565917
PST,2015,40775.9479386213
PRE,2015,1524.98608713796
SST,2015,10446.850341907
SAS,2015,1570.54142462917
TSA,2015,1570.54142462917
SSF,2015,1646.44941139316
SSA,2015,1763.27463036367
TSS,2015,1646.44941139316
WLD,2015,10161.9445773234
AFG,2015,565.569730408751
ALB,2015,4199.53912925398
DZA,2015,4685.05902729002
ASM,2015,12727.4102651386
AND,2015,38654.95287916
AGO,2015,3641.72893919944
ATG,2015,16077.6340769406
ARG,2015,13679.6264980954
ARM,2015,3512.39350276709
ABW,2015,27458.2201537506
AUS,2015,56970.3613028094
AUT,2015,43915.228020857
AZE,2015,5500.50364628486
BHS,2015,30719.405417469
BHR,2015,23734.0551143019
BGD,2015,1224.38647668165
BRB,2015,20424.2087530019
BLR,2015,5967.05595058777
BEL,2015,40893.804537772
BLZ,2015,6154.62264230369
BEN,2015,1002.41886879614
BMU,2015,104855.366822135
BTN,2015,2954.04081911097
BOL,2015,2996.01289811344
BIH,2015,4662.25869219448
BWA,2015,6141.20394726616
BRA,2015,8936.1955889444
BRN,2015,30625.1287744656
BGR,2015,7268.65445473873
BFA,2015,630.124750752312
BDI,2015,254.402585226788
CPV,2015,3415.06266730931
KHM,2015,1547.32010444393
CMR,2015,1415.00009710569
CAN,2015,43594.1941045394
CYM,2015,76379.2098777987
CAF,2015,366.322853938121
TCD,2015,993.990730610869
CHI,2015,61847.8212238857
CHL,2015,13433.9202987032
CHN,2015,8175.33285077393
COL,2015,6248.51490534512
COM,2015,1329.37048235986
COD,2015,495.826633014883
COG,2015,2439.35189403696
CRI,2015,11714.7105980732
CIV,2015,1814.71855088017
HRV,2015,12283.7840620053
CUB,2015,7727.91997207998
CUW,2015,19361.8129630226
CYP,2015,23088.44140625
CZE,2015,17931.5987670768
DNK,2015,53094.0133607574
DJI,2015,2376.12554719873
DMA,2015,8282.59874702141
DOM,2015,6800.95309395474
ECU,2015,5976.1596805651
EGY,2015,3306.98159414141
