country_code,year,gdp_growth,inflation,population,gni_per_capita,life_expectancy,literacy_rate,country_name,region,income_level,gdp_per_capita
ABW,2015,3.61147995361162,,107906.0,25430.0,,,Aruba,Latin America & Caribbean ,High income,27458.2201537506
ABW,2016,1.23433537363427,,108727.0,25560.0,,,Aruba,Latin America & Caribbean ,High income,27441.5502144601
ABW,2017,3.49342985290626,,108735.0,26460.0,,,Aruba,Latin America & Caribbean ,High income,28440.0416881491
ABW,2018,3.21247111920076,,108908.0,27970.0,,,Aruba,Latin America & Caribbean ,High income,30082.1584226798
ABW,2019,1.22511225158814,,109203.0,29320.0,,,Aruba,Latin America & Caribbean ,High income,30645.8906024548
ABW,2020,-23.8979898352395,,108587.0,22790.0,,,Aruba,Latin America & Caribbean ,High income,22759.8071750722
ABW,2021,14.7306159219273,,107700.0,26550.0,,,Aruba,Latin America & Caribbean ,High income,26749.3296093118
ABW,2022,10.6364309604414,,107310.0,30160.0,,,Aruba,Latin America & Caribbean ,High income,30975.9989121779
ABW,2023,7.70679839650956,,107359.0,31600.0,,,Aruba,Latin America & Caribbean ,High income,35718.7531191634
ABW,2024,6.81077669324542,,107995.0,35570.0,,,Aruba,Latin America & Caribbean ,High income,39498.5941293797
AFG,2015,1.45131466066431,-0.661709164713742,33831764.0,590.0,62.27,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,565.569730408751
AFG,2016,2.26031420279821,4.38389195513915,34700612.0,560.0,62.646,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,522.082215583898
AFG,2017,2.6470032027451,4.97595150553833,35688935.0,530.0,62.406,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,525.469770891619
AFG,2018,1.18922812944517,0.626149149168847,36743039.0,520.0,62.443,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,491.337221382603
AFG,2019,3.91160341625552,2.30237251516834,37856121.0,520.0,62.941,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,496.6025042585
AFG,2020,-2.35110067203466,5.60188791482224,39068979.0,490.0,61.454,35.9865546430738,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,510.787063366811
AFG,2021,-20.7388393676343,5.13320340824963,40000412.0,380.0,60.417,37.2700004577637,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,356.496214115892
AFG,2022,-6.24017199240269,13.7121023720065,40578842.0,370.0,65.617,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,357.261152798144
AFG,2023,2.26694373649188,-4.64470870797775,41454761.0,370.0,66.035,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,413.757894705303
AFG,2024,,-6.60118564073726,42647492.0,,,,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,
AGO,2015,0.763177710914789,,28157798.0,4450.0,,,Angola,Sub-Saharan Africa ,Lower middle income,3641.72893919944
AGO,2016,-1.70053036291208,,29183070.0,2910.0,,,Angola,Sub-Saharan Africa ,Lower middle income,2051.81462126253
